Category,Sample Question
Advising Process,Can my advisor help me choose electives?
Advising Process,What does an advising hold mean?
Advising Process,Can I meet with an advisor from a different college?
Advising Process,How do I submit questions between appointments?
Advising Process,Is there an advising syllabus or checklist I should follow?
Advising Process,What advising resources are available during breaks?
Advising Process,Are advising appointments confidential?
Advising Process,How are advising appointments different from academic coaching?
Advising Process,Can I schedule advising meetings virtually?
Advising Process,Can I see a peer advisor too?
Advising Process,How do I prepare for our advising meeting?
Advising Process,What questions should I be asking you?
Advising Process,What’s the best way to stay in touch between appointments?
Advising Process,Do you offer group advising sessions?
Advising Process,What are the consequences of missing an advising meeting?
Advising Process,How do I give feedback about my advising experience?
Opportunities,What are the benefits of joining an honors society?
Opportunities,Are there undergraduate teaching assistant opportunities?
Opportunities,How do I attend conferences as a student?
Opportunities,Are there pitch competitions or hackathons I can join?
Opportunities,Can I apply for funding for my own research project?
Opportunities,Where do I find campus employment opportunities?
Opportunities,Are there any courses that connect with community partners?
Opportunities,How do I join a student government organization?
Opportunities,Are there diversity-focused groups I can join?
Opportunities,Can first-year students apply for research opportunities?
Opportunities,What’s the process for becoming a learning assistant?
Opportunities,Are there international service-learning trips?
Opportunities,What’s the best way to find events happening on campus?
Opportunities,Can I get involved in sustainability initiatives?
Opportunities,How do I find out about leadership workshops?
Opportunities,What are living-learning communities?
Opportunities,How do I start my own club or organization?
Opportunities,Are there public speaking opportunities for students?
Opportunities,What is a student ambassador program?
Opportunities,Where can I find service learning or civic engagement courses?
Opportunities,Are there leadership programs for students in my college?
Opportunities,Can I join student orgs outside my major?
Opportunities,How do I apply for a research assistant position?
Opportunities,What scholarships are available based on my major?
Opportunities,Can I get course credit for extracurricular involvement?
Study Abroad/Internships,What majors have the most study abroad-friendly curricula?
Study Abroad/Internships,Do study abroad grades factor into my GPA?
Study Abroad/Internships,How do I apply for scholarships for study abroad?
Study Abroad/Internships,How far in advance should I plan for a semester abroad?
Study Abroad/Internships,Can I study abroad over the summer only?
Study Abroad/Internships,Are there short-term faculty-led international programs?
Study Abroad/Internships,What support is available for students abroad?
Study Abroad/Internships,Can I complete a co-op and still graduate on time?
Study Abroad/Internships,What counts as a professional internship?
Study Abroad/Internships,How do I know if an internship is for credit?
Study Abroad/Internships,What documents do I need for internship approval?
Study Abroad/Internships,Can I get help with my resume from career services?
Study Abroad/Internships,Are there industry-specific internship fairs?
Study Abroad/Internships,How do I connect with alumni for internship leads?
Study Abroad/Internships,Do internships need to be full-time?
Study Abroad/Internships,Can internships be virtual or hybrid?
Study Abroad/Internships,Are there summer research internships available?
Study Abroad/Internships,How do I build a competitive application for a global internship?
Study Abroad/Internships,What is the timeline for applying to internships?
Study Abroad/Internships,What are the pros and cons of unpaid internships?
Study Abroad/Internships,Can I do both an internship and study abroad during my time here?
Study Abroad/Internships,What’s the timeline for applying to a co-op program?
Study Abroad/Internships,Will I need special insurance or visas for studying abroad?
Study Abroad/Internships,How do I align my study abroad classes with degree requirements?
Study Abroad/Internships,Are there internship programs that help with housing?
Study Abroad/Internships,Can international students also apply for study abroad?
Study Abroad/Internships,How do I convert internship experience into academic credit?
Study Abroad/Internships,What are the differences between co-ops and internships?
Study Abroad/Internships,Are there virtual internship options I can explore?
Study Abroad/Internships,What majors are most flexible for studying abroad?
Academic Challenges,Who should I talk to if I’m thinking about taking a leave of absence?
Academic Challenges,How do I bounce back after getting a poor midterm grade?
Academic Challenges,What should I do if I’m falling behind in multiple classes?
Academic Challenges,Are there workshops for time management or study skills?
Academic Challenges,How do I talk to a professor about my struggles?
Academic Challenges,Can I switch to pass/fail if I’m doing poorly?
Academic Challenges,Are there support groups for students dealing with stress?
Academic Challenges,What happens if I don’t pass a required class?
Academic Challenges,What are my options if I have a documented learning disability?
Academic Challenges,Can I meet with both my advisor and a wellness coach?
